company_names,cars_names,car_types,engines,fuel_types_cleaned,cc_battery_capacity,horsepower,total_speed,performance_0_100_km/h,seats,torque,cars_prices_cad,cars_prices_usd
LAMBORGHINI,AVENTADOR ULTIMAE,sports,V12,gas,6498 cc,769.0,355.0,2.8,2.0,720.0,735750.0,545000.0
LAMBORGHINI,HURACAN EVO RWD,sports,V10,gas,5204 cc,610.0,325.0,3.3,2.0,560.0,348300.0,258000.0
LAMBORGHINI,AVENTADOR SVJ ROADSTER,sports,V12,gas,6498 cc,759.0,350.0,2.9,2.0,720.0,773550.0,573000.0
LAMBORGHINI,URUS S,sports,V8,gas,3996 cc,671.0,305.0,3.3,5.0,850.0,355050.0,263000.0
LAMBORGHINI,HURACAN STO,sports,V10,gas,5204 cc,640.0,325.0,3.0,2.0,565.0,441450.0,327000.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,sports,V12,gas,6498 cc,769.0,355.0,2.8,2.0,720.0,735750.0,545000.0
LAMBORGHINI,HURACAN EVO RWD SPYDER,sports,V10,gas,5204 cc,610.0,325.0,3.3,2.0,600.0,368550.0,273000.0
LAMBORGHINI,AVENTADOR SVJ XAGO,sports,V12,gas,6498 cc,759.0,350.0,2.9,2.0,720.0,814050.0,603000.0
LAMBORGHINI,URUS GRAPHITE CAPSULE,sports,V8,gas,3998 cc,641.0,305.0,3.3,5.0,850.0,341550.0,253000.0
LAMBORGHINI,HURACAN STO EVO,sports,V10,gas,5204 cc,640.0,325.0,3.0,2.0,565.0,461700.0,342000.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,sports,V12,gas,6498 cc,769.0,355.0,2.8,2.0,720.0,773550.0,573000.0
ROLLS ROYCE ,GHOST,sedan,V12,gas,6592 cc,591.0,250.0,4.8,5.0,850.0,448200.0,332000.0
ROLLS ROYCE,WRAITH,sports,V12,gas,6592 cc,624.0,250.0,4.4,4.0,870.0,445500.0,330000.0
ROLLS ROYCE,DAWN,sports,V12,gas,6592 cc,624.0,250.0,4.9,4.0,870.0,486000.0,360000.0
ROLLS ROYCE,CULLINAN,sedan,V12,gas,6749 cc,563.0,250.0,5.2,5.0,850.0,438750.0,325000.0
ROLLS ROYCE,PHANTOM EXTENDED,sedan,V12,gas,6749 cc,563.0,250.0,5.3,5.0,900.0,675000.0,500000.0
ROLLS ROYCE,GHOST EXTENDED,sedan,V12,gas,6592 cc,591.0,250.0,4.8,5.0,850.0,499500.0,370000.0
ROLLS ROYCE,WRAITH BLACK BADGE,sports,V12,gas,6592 cc,624.0,250.0,4.3,4.0,870.0,486000.0,360000.0
ROLLS ROYCE,DAWN BLACK BADGE,sports,V12,gas,6592 cc,624.0,250.0,4.8,4.0,870.0,526500.0,390000.0
ROLLS ROYCE,CULLINAN BLACK BADGE,sedan,V12,gas,6749 cc,563.0,250.0,5.1,5.0,850.0,472500.0,350000.0
ROLLS ROYCE,PHANTOM COUPE,sports,V12,gas,6749 cc,563.0,250.0,5.3,4.0,870.0,607500.0,450000.0
ROLLS ROYCE,GHOST COUPE,sports,V12,gas,6592 cc,591.0,250.0,4.8,4.0,850.0,459000.0,340000.0
ROLLS ROYCE,WRAITH COUPE,sports,V12,gas,6592 cc,624.0,250.0,4.4,4.0,870.0,445500.0,330000.0
ROLLS ROYCE,DAWN CONVERTIBLE,sports,V12,gas,6592 cc,624.0,250.0,4.9,4.0,870.0,513000.0,380000.0
ROLLS ROYCE,CULLINAN SUV,sedan,V12,gas,6749 cc,563.0,250.0,5.2,5.0,850.0,432000.0,320000.0
MERCEDES,BENZ S-CLASS S 580,sedan,V8,gas,3982 cc,496.0,250.0,4.4,5.0,700.0,156600.0,116000.0
MERCEDES,BENZ E-CLASS E 63 S,sports,V8,gas,3982 cc,603.0,250.0,3.4,5.0,850.0,140400.0,104000.0
MERCEDES,BENZ CLA 45 AMG,sedan,I4,gas,1991 cc,382.0,250.0,4.1,5.0,500.0,71550.0,53000.0
MERCEDES,BENZ GLE 63 S,sedan,V8,gas,3982 cc,603.0,250.0,4.2,5.0,850.0,152550.0,113000.0
MERCEDES,BENZ S-CLASS S 500,sedan,V6,gas,2996 cc,429.0,250.0,4.9,5.0,700.0,147150.0,109000.0
